"","ID","Region","RiverName","Date","Lattitude","Longitude","DOC_mgL","C1_percent","C4_percent","DHg_ngL","DMeHg_ngL","DMeHg_DHg_ratio","d13C_CO2_permil","d13C_CH4_permil","alpha_CO2CH4","CO2_mgCL","CH4_mgCL","FOX","MOX_mgCL"
"258","LR-112-A18","RR","La_Romaine",NA,50.31539,-63.77351,6.80856669947375,0.447296167889741,0.151626628134331,2.03811765290445,0.140472044863827,0.0689224415791921,-18.9281311112326,-50.5798163513469,1.03333791063771,0.609168849562858,0.0322408629636016,0.0306013073146594,0.000986612555638994
"259","LR-155.2-A18","RR","La_Romaine",NA,50.30851,-63.64853,5.65717847056522,0.441783879099551,0.161009810138597,1.67085350263507,0.125318263341307,0.0750025439954313,NA,NA,NA,0.640792531725446,0.0228388469087951,NA,NA
"260","LR-155.2-A18","RR","La_Romaine",NA,50.30851,-63.64853,5.65717847056522,0.441783879099551,0.161009810138597,1.67085350263507,0.125318263341307,0.0750025439954313,NA,NA,NA,0.640792531725446,0.0228388469087951,NA,NA
"261","LR-158","RR","La_Romaine",NA,NA,NA,5.06683168316832,NA,NA,1.65497097489771,0.0327433675834685,0.0197848591184461,NA,NA,NA,NA,NA,NA,NA
"262","LR-160","RR","La_Romaine",NA,NA,NA,7.55049504950495,NA,NA,2.81167635143263,0.0645703981855995,0.022965089190546,NA,NA,NA,NA,NA,NA,NA
"263","LR-161","RR","La_Romaine",NA,NA,NA,5.8569306930693,NA,NA,1.61402592549889,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","LR-162","RR","La_Romaine",NA,NA,NA,5.63861386138614,NA,NA,2.10909110255833,0.0416500693837,0.0197478759135527,NA,NA,NA,NA,NA,NA,NA
"265","LR-163","RR","La_Romaine",NA,NA,NA,5.66237623762376,NA,NA,1.63290212349642,0.0503944590929859,0.030861898192085,NA,NA,NA,NA,NA,NA,NA
"266","LR-201-A18","RR","La_Romaine",NA,NA,NA,5.65715047199407,0.549559138225976,0.0261703179288946,2.18292335375122,0.121908814035582,0.0558465847305583,NA,NA,NA,NA,NA,NA,NA
"267","LR-201-A18","RR","La_Romaine",NA,NA,NA,5.65715047199407,0.549559138225976,0.0261703179288946,2.18292335375122,0.121908814035582,0.0558465847305583,NA,NA,NA,NA,NA,NA,NA
"268","LR-TR-1004","RR",NA,NA,50.31163,-63.66072,5.26,0.544208457941545,0.0467827099662536,1.01948901521456,0.0318072772147424,0.0311992348520287,NA,NA,NA,0.337421510927541,0.00914540274232324,NA,NA
"269","LR-TR-1004","RR",NA,NA,50.31163,-63.66072,5.26,0.544208457941545,0.0467827099662536,1.01948901521456,0.0318072772147424,0.0311992348520287,NA,NA,NA,0.337421510927541,0.00914540274232324,NA,NA
"270","LR-TR-1004-A17","RR",NA,NA,50.31163,-63.66072,10.3620510268833,0.598284744416834,0.0103983996243634,2.6343585288086,0.0432738202053666,0.0164267011236839,NA,NA,NA,0.366130000962134,0.011485722538853,NA,NA
"271","LR-TR-1004-A17","RR",NA,NA,50.31163,-63.66072,10.3620510268833,0.598284744416834,0.0103983996243634,2.6343585288086,0.0432738202053666,0.0164267011236839,NA,NA,NA,0.366130000962134,0.011485722538853,NA,NA
"272","LR-TR-1004-A18","RR",NA,NA,50.311,-63.66104,12.9199817802869,0.525132413594862,0.0934582435106822,2.3640092189145,0.125844222791227,0.0532333891866173,NA,NA,NA,NA,NA,NA,NA
"273","LR-TR-1004-A18","RR",NA,NA,50.311,-63.66104,12.9199817802869,0.525132413594862,0.0934582435106822,2.3640092189145,0.125844222791227,0.0532333891866173,NA,NA,NA,NA,NA,NA,NA
"274","LR-TR-1005-A17","RR",NA,NA,50.32724,-63.81151,16.6507189858993,0.607987897866712,0.0199925585280866,4.3557106260255,0.0889894856176658,0.020430532066559,NA,NA,NA,NA,NA,NA,NA
"275","LR-TR-1005-A17","RR",NA,NA,50.32724,-63.81151,16.6507189858993,0.607987897866712,0.0199925585280866,4.3557106260255,0.0889894856176658,0.020430532066559,NA,NA,NA,NA,NA,NA,NA
"276","R01-TR-1002","RR",NA,NA,50.42857,-63.21344,11.67,0.637355671132211,0.0115494211568295,2.51367729022995,0.132642929387366,0.0527684798294981,NA,NA,NA,1.6034545698772,0.383238802481113,NA,NA
"277","R01-TR-1002","RR",NA,NA,50.42857,-63.21344,11.67,0.637355671132211,0.0115494211568295,2.51367729022995,0.132642929387366,0.0527684798294981,NA,NA,NA,1.6034545698772,0.383238802481113,NA,NA
"278","R02-91-A17","RR","La_Romaine",NA,50.65676,-63.26402,5.7906219883544,0.532348192977859,0.0407166349109465,2.41082659376411,0.0719791392897017,0.0298566224032389,NA,NA,NA,0.558289891957225,0.0279371165194478,NA,NA
